cita
pedir
doctor_a
telefono
control
pagar
examenes
consulta
mandaron
informacion
queda
presencial
examen
medicina
agenda
celular
llamar
problema
cancelar
minutos
ecografia
llevo
volver
dije
venga
momentico
lunes
posible
radiografia
pueda
pagina
hablar
cinta
presencia
llega
numeros
llaman
llamado
necesita
electronico
datos
laboratorio
contestan
cirugia
pasado
autora
telefonica
visto
llamaron
dicho
hicieron
proceso
miercoles
hagame
llamara
mandar
cartago
programa
mirar
quieres
escucho
ciudad
virtual
haciendo
parapedircita
disponibilidad
pregunto
lejos
morichal
internet
diciendo
encuesta
dificil
incapacidad
llevar
personas
funcion
mandan
facil
sirve
medicos
registro
normal
comun
nadie
jueves
registrar
prioritaria
ortopedia
vacuna
exito
ninas
pendiente
vision
citologia
procedimiento
podia
situacion
comunicar
llamars
amables
perder
especialistas
digame
ultima
reserva
resultado
unica
atienden
puesto
telefonico
medicamentos
pediatria
unico
resultados
lleva
prueba
formula
final
disponible
momentos
esperando
convenio
seguir
realizar
asistir
pediatra
aparece
presion
salir
ayudar
preguntar
podido
entrar
senores
apenas
ejemplo
entidad
neurologia
cercana
tequendama
atender
envio
comunicarme
vete
enviar
senal
contesta
problemas
siento
tranquila
fijo
vuelve
decia
historia
pasada
higiene
psicologia
horario
entra
tarjeta
llamarn
atendiendo
cambiar
afiliado_a
acceso
disculpe
muchacha
requiere
programada
tratar
familiar
esposa
listos
poner
maneras
hijos
fuerza
medios
loco
hacerlo
haria
agua
internista
producto
deben
perdi
rapido
vieron
vengo
sangre
exactamente
particular
vuelvo
hermana
inicio
entro
tele
sitio
formas
tratamiento
comfandi
pandemia
enviaron
positivo
termino
compania
poquito
edad
manejo
diseno
copia
sintomas
controles
presenciar
cirujano
vencio
semanas
color
puedan
hablando
ginecologia
urgencias
precio
consultas
vendra
llegado
compartir
debil
teleconsulta
trabajando
tocaria
mandado
programas
resonancia
cliente
formal
cuota_moderadora
empezar
frente
visita
miren
versalles
quedan
buscar
quiera
zonas
permanencia
social
ingresar
personalmente
supuestamente
ultimos
nombres
importa
extension
vivir
presente
presidencial
contacto
alta
peso
facturar
encuentro
solucion
verificar
cambiaron
entiendes
adios
quieren
amiga
minimo
mensaje
estudio
consultar
darle
mision
temas
edicion
perdio
llevan
lineas
this
urologia
mitad
cobi
seguimiento
imposible
culpa
abajo
presenciales
interes
raro
contesto
atendieron
pidiendo
necesitas
telefonos
disculpa
oficina
comunicando
comunico
vacunacion
fondo
programar
agendas
permite
mamografia
simplemente
acaba
urgente
adonde
dejo
revision
llamaba
creacion
dosis
socio
lateral
imagino
ponen
consultorio
parar
compro
terapia
perdida
llegue
mujeres
prioritario
derecho
averiguar
ademas
estacion
funciona
medicas
turno
medicina_interna
pide
pude
triple
pedia
envie
escuche
idea
existe
jefe
pregunte
trato
necesitamos
proxima
tocar
necesitaba
usuario
marcando
venir
sede
permiso
otorrino
urologo
hicimos
telemedicina
celulas
octubre
bajas
anterior
sucede
comunique
gustaria
abrir
equipo
viaje
tiroides
entendi
volvio
hiciera
segundito
quedaron
ginecologo
version
credito
acto
nutricion
viendo
envia
transcurso
quede
atendian
inconveniente
plataforma
llegan
suena
colgo
autorizares
presenta
cosita
copias
cuestion
piden
rehabilitacion
medida
irse
club
autor
partir
dijiste
valoracion
hacerme
intentando
ciencia
video
pedirle
pierna
detras
accidente
nuevos
revisar
fechas
comenzo
repite
desea
cuarta
pierde
volvi
seccion
funciones
voces
hipertension
generar
pese
nuevas
miedo
presentar
original
llamareste
espere
conoce
bajar
solicito
factura
afiliacion
practicamente
atiende
fans
digas
llamarbueno
manejar
especial
tomaron
dermatologo
peor
formacion
canciones
audio
productos
hiciste
pasaron
trata
cambien
dientes
papelito
anora
partes
diria
cancelarla
decirle
atiendan
diferente
neurologo
clientes
tranquilo
informo
programacion
buscando
prision
actual
adelante
fiebre
humo
muchacho
pedido
busca
medicamento
llamarpedir
coloco
manden
intencion
alcanzo
crisis
regalar
socios
contestaron
aparte
viven
tarjeta_identidad
realidad
acerca
revise
hogar
hombres
maldicion
endoscopia
entrecortado
mamita
vuelta
operacion
negativo
central
marcar
pediste
origen
veamos
correr
menciona
radiografias
vuelto
dejame
citan
ciencias
cientos
contestar
diferentes
explico
preocupa
cambie
conozco
registrardo
listas
deje
colocar
ecologia
unna
infeccion
identidad
comprar
policia
venido
cancele
total
suerte
lados
preguntita
amigas
cuerda
venas
saliendo
produccion
hechos
citado
vive
dieran
clinicas
entregan
llamaban
votos
opera
vaginal
existen
hojas
preguntarle
cardiologia
pidiera
llamarentonces
cumplir
momentito
agente
mayores
hombro
presento
enviado
pensar
vuelvan
pienso
tomando
proximo
pagando
quita
electro
presencias
cobra
querida
autorizado
critica
daban
confa
supuesto
servir
debido
antologia
vienen
cambios
gratis
puesta
puedas
perdona
beso
llamarpero
siga
mediante
informe
recibir
deberia
llevaba
darme
reprogramar
siguen
jugar
sector
parecen
dirigir
hablamos
colonos_copia
volvieron
citada
autorizaron
reclamo
ordeno
traslado
entrega
recuerda
escuchar
urgencia
regalame
fundo
deseo
posibilidad
referencia
olvido
teologia
acepto
decide
contar
reporte
hacian
vuelven
epoca
ofrece
medias
puse
saque
toque
autorice
confundir
llamamos
cuentos
autoriza
enfermo
repito
pusieron
sintoma
entienden
oficio
comunica
certificado
pudo
agendar
pasando
confianza
gral
lleve
yendo
supongo
adicion
exista
vemos
colabora
avenida
dificultad
podra
autorizada
senorito
quiso
compre
estudios
indice
termina
llamarpues
primeras
leer
imaginate
bebes
hagamos
siquiera
usuarios
primaria
actos
pendientes
puta
compras
contesten
texto
ontologica
humano
actualmente
apellido
exitos
necesitan
curso
quedar
llenar
sedes
esencial
depende
reclamar
charla
interno
laboratorios
endocrinologia
finales
conocer
ocupado
asignar
silencio
lectura
vicios
tipos
inta
imaginese
mentes
abierto
llamardesde
mierda
perdone
hablan
pidio
terminar
perdiendo
multa
senoria
cerdo
pruebas
biopsia
soporte
diabetes
solos
hables
salga
vuelo
unicamente
actualizacion
cambiado
pensando
aplicar
parecia
andar
vascular
quejas
prevista
quedaria
titular
maldito
prestador
familias
firmo
nariz
visual
repente
llamaria
tercer
normalmente
celula
actividad
coloca
apoyo
cansancio
pagas
vicio
generales
complicado
firma
tramite
tocaba
especie
esencia
empieza
taxi
horarios
paquete
madame
conexion
pesar
realizo
caminar
personaje
aplicacion
habiles
motivo
supone
mirame
debia
operaron
hallo
traumatologia
quimica
acercar
sacan
vengan
habil
llamarla
pistas
medicinas
volvera
amas
larga
salgo
amigos
podian
actuacion
minuscula
efectivo
ingrese
oficina_virtual
contrasena
reservas
querian
visa
hazme
favores
quedando
inicios
noticias
volumen
aislamiento
cancelaron
cancelo
hacerte
horrible
crecimiento_desarrollo
quise
programo
utiliza
decian
derecha
conflicto
adicional
sueno
proteccion
confundirse
visito
arroz
solucionar
viajar
nomas
menciones
miramos
actriz
juegos
encuentran
senales
notas
ayudas
cardiologo
diferencia
septiembre
necesidad
cite
malestar
conoces
desarrollo
abrieron
suiza
miento
hacerse
entregar
telefonicos
correcta
pareces
esfuerzo
tenes
mensajes
aire
ortopedia_traumatologia
comunican
radicardo
contiene
trae
acepta
estres
condicion
salida
mezcla
traje
perdieron
cancelado
artista
correos
yahoo
clima
entero
pertenece
acido
aviso
pasen
posicion
volando
posee
realiza
pagarlo
escribe
tejidos_blandos
edificio
pieza
muestra
habito
debi
cancelacion
cobro
seleccion
copagar
cuentan
recibe
hagas
intente
llamarte
citar
musica
realizan
llevando
completo
acercarse
colabore
hallar
tomen
asignada
normales
cifras
tomara
sitios
respirar
imagen
huyo
logia
decision
vuelva
facturas
electron
asignacion
convenios
programan
puestos
separa
antologica
family
escribir
tramo
anticipacion
evitar
cuerdo
principal
cerquita
izquierda
medicion
comenzar
tocan
mirada
siguio
bendito
abren
informar
billetes
primeros
requiero
dedico
embarazo
droga
intereses
laboral
inca
habita
osea
griega
vecinos
nutricionista
subir
llamardijeron
llamarnumero
supo
censo
princesa
propio
interna
proyecto
atienda
ortopedica
pension
compra
manejan
hecha
drama
vinieron
grabacion
hambre
ayudes
comprando
necesario
firmas
necesite
temperatura
encuestas
encuentre
superficie
abuelo
paradas
division
cobrar
decirte
obviamente
intervencion
inclusive
sexto
segundos
repetir
precisamente
vendras
pidieron
prioridad
actuo
piernas
colgar
agentes
entendido
llegamos
duele
things
envian
referencias
consciente
gracioso
cuota
produce
suficiente
usos
comedy
